28006, PHOTALINE LASER 14 DEVELOPER REPLENISHER CONCENTRATE;POTASSIUM HYDROXIDE, POTASSIUM SULFITE, POTASSIUM CARBONATE, HYDROQUINONE, WATER; STRONG ACIDS, STRONG BASES;KEEP AWAY FROM STRONG ACIDS;Respiratory Protection:SHOULD NOT BE NECESSARY UNDER NORMAL CONDITIONS. IF EXPOSED TO VAPORS THAT EXCEED TLV OR PEL, WEAR APPROVED VAPOR RESPIRATOR. Ventilation:NOT PROVIDED Protective Gloves:IMPERVIOUS Eye Protection:PROTECTIVE GOGGLES. Other Protective Equipment:AS NECESSARY TO PREVENT SKIN CONTACT. EYEWASH FACILITIES IN VICINITY OF USE. Work Hygienic Practices:NOT PROVIDED Supplemental Safety and Health ABBREVIATION: N/A;
SCOTCH-GRIP 4475 PLASTIC ADHESIVE;METHYL ETHYL KETONE (2-BUTANONE) (MEK) (SARA 313) (CERCLA), VINYL CHLORIDE/VINYL ACETATE COPOLYMER, POLYURETHANE RESIN, VOLATILE ORGANIC CONTENT(LESS WATER AND EXEMPTED; STRONG OXIDIZING AGENTS;HIGH HEAT,SOURCES OF IGNITION;Respiratory Protection:WHERE ENVIRONMENTAL CONTROLS ARE LACKING OR IN ENCLOSED SPACES USE A NIOSH/MSHA APPROVED RESPIRATOR FOR ORGANIC VAPORS. Ventilation:LOCAL VENTILATION AT THE WORKSITE,MECHANICAL(GENERAL) VENTILATION TO MAINTAIN TLV/PEL. Protective Gloves:BUTYL,PVA,PFTE(TEFLON). Eye Protection:CHEMICAL SPLASH GOGGLES Other Protective Equipment:PROTECTIVE CLOTHING,AS NEEDED.PROVIDE A LOCAL EYE WASH STATION AND SAFETY SHOWER. Work Hygienic Practices:WASH HANDS.SEPERATE WORK CLOTHES FROM STREET CLOTHES.LAUNDER WORK CLOTHES BEFORE REUSE.KEEP FOOD OUT OF THE WORK AREA. Supplemental Safety and Health NONE;
156 6850 REVERSAL BATH,PROCESS E-6,CONCENTRATE;WATER, SODIUM PROPIONATE, (NITRILOTRIS(METHYLENE)TRIPHOSPHONIC ACID, K, PHOSPHONIC ACID (NITRILO TRIS(METHYLENE))TRI-/SUBSTITUTED, PROPIONIC ACID (CERCLA), STANNOUS CHLORIDE, SOLID; STRONG OXIDIZING AGENTS;;Respiratory Protection:IF ENGINEERING CONTROLS DO NOT MAINTAIN AIRBORNE CONCENTRATIONS BELOW RECOMMENDED EXPOSURE LIMITS, AN APPROVED RESPIRATOR MUST BE WORN. RESPIRATOR TYPE: ORGANIC VAPOR. IF RESPIRATORS ARE USED, A PROGR AM SHOULD BE INSTITUTED. Ventilation:GOOD GENERAL VENTILATION IS SUFFICIENT FOR MOST CONDITIONS (10 ROOM VOLUMES PER HOUR). Protective Gloves:LATEX FOR REPEATED/PROLONGED CONTACT Eye Protection:SAFETY GLASSES WITH SIDE SHIELD/GOGGLES Other Protective Equipment:EYE BATH, WASHING FACILITIES, SAFETY SHOWER Work Hygienic Practices:OBSERVE GOOD INDUSTRIAL HYGIENE PRACTICES AND RECOMMENDED PROCEDURES. WASH THOROUGHLY BEFORE EATING, DRINKING/SMOKING. Supplemental Safety and Health NONE SPECIFIED BY MANUFACTURER;
TOLUOL, METHYLBENZENE, TX0735T;TOLUENE (SARA 313) (CERCLA); OXIDIZERS, STRONG MINERAL ACIDS;HEAT, CONTACT W/IGNITION SOURCE;Respiratory Protection:IF WORKPLACE EXPOS LIM(S) OF PROD/ANY COMPONENT IS EXCEEDED, A NIOSH/MSHA APPRVD AIR SUPPLIED RESP IS ADVISED IN ABSENCE OF PROPER ENVIRON CONTROL. OSHA REGS ALSO PERMIT OTHER NIOSH/MSHA APPRVD RESPS( NEGATIVE PRESS TYPE) UNDER SPEC(SUPDAT) Ventilation:ENGINEERING &/ADMIN CONTROLS SHOULD BE IMPLEMENTED TO REDUCE EXPOS. MATL SHOULD BE HANDLED/TRANS IN APPRVD FUME (SUPDAT) Protective Gloves:VITON/POLYURETHANE/EQUIVALENT GLOVES. Eye Protection:ANSI APPRVD CHEM WORKERS GOGGS. Other Protective Equipment:EMERGENCY EYEWASH & DELUGE SHOWER MEETING ANSI DESIGN CRITERIA. Work Hygienic Practices:WASH THORO AFTER HNDLG. DO NOT TAKE INTERNALLY. Supplemental Safety and Health SPILL PROC: CNTNRIZE FOR PROPER DISP AS DESCRIBED UNDER DISPOSAL. RESP PROT: CONDITIONS (SEE YOUR SAFETY EQUIPMENT SUPPLIER). VENT: HOOD OR W/ADEQUATE VENTILATION;
WELDWOOD NONFLAMMABLE CONTACT CEMENT;METHYL CHLOROFORM (1,1,1-TRICHLOROETHANE) (CHLOROTHENE NU),, DIETHYLENE ETHER (DIOXANE), (DIETHYLENE DIOXIDE),, TRADE SECRET COMPONENT, VOL ORGANIC CMPD LESS WATER LESS EXEMPT SOLVENT: 180-192; STRONG OXIDIZERS & CAUSTICS;EXCESSIVE HEAT & FREEZING;Respiratory Protection:IF 8-HR EXPOSURE LIMIT OR VALUE IS EXCEEDED FOR ANY COMPONENT, USE AN APPROVED NIOSH/OSHA RESPIRATOR. Ventilation:PROVIDE SUFFICIENT MECHANICAL VENTILATION (LOCAL OR GENERAL EXHAUST) TO KEEP BELOW TLV. Protective Gloves:SOLVENT IMPERVIOUS Eye Protection:GOGGLES OR SAFETY GLASSES W/SIDE SHIELDS Other Protective Equipment:EYEWASH & SOLVENT IMPERVIOUS APRON IF BODY CONTACT W/PRODUCT OCCURS. BARRIER CREAMS MAY BE USED. Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. Supplemental Safety and Health;
ENGINE STARTING FLUID;ETHYL ETHER, DIETHYL ETHER, ETHER, ANESTHETIC ETHER, HEPTANE *98-1*, UPPER CYLINDER LUBRICANT; OXIDIZING MATERIALS;HEAT, IGNITION SOURCES, TEMPS >120F;Ventilation:MECHANICAL(GENERAL) Eye Protection:SAFETY GLASSES/GOGGLES Supplemental Safety and Health;
146 4478,RAPID SELENIUM TONER;SODIUM SELENITE (SARA III), WATER, AMMONIUM THIOSULFATE, SODIUM SULFITE; BASES,STRONG MINERAL ACIDS;;Respiratory Protection:NONE SHOULD BE NEEDED. Ventilation:GEN MECH RECOMMENDED. Protective Gloves:IMPERVIOUS. Eye Protection:SAFETY GLASSES. Supplemental Safety and Health ITEM HAS A PH OF 9;
2-100920 FIRE EXTINGUISHER CARTIDGE;ZIRCONIUM, POTASSIUM PERCHLORATE, GRAPHITE, NATURAL, VITON-B, LEAD AZIDE; STRONG OXIDIZING AGENTS;SOURCES OF IGNITION, FRICTION, INCOMPATIBLE MATERIALS, STRONG EVOLUTION OF LIGHT;Respiratory Protection:NONE NORMALLY REQUIRED IN UNRUPTURED UNITS. Ventilation:DO NOT USE DUE TO EXPLOSIVE HAZARD OF RUPTURED UNITS. Protective Gloves:NONE NORMALLY REQUIRED. Eye Protection:SAFETY GLASSES W/SIDE SHIELDS. Other Protective Equipment:EAR PROTECTION. PERSONNEL SHIELDS AND STATIC SUPPRESSION. Work Hygienic Practices:WASH HANDS AFTER HANDLING AND BEFORE EATING, DRINKING, OR SMOKING. LAUNDER CONTAMINATED CLOTHES BEFORE REUSE. Supplemental Safety and Health MSDS PRESENTED BY CAGE 05167 FOR CONTRACT NUMBER SP076095MV350. THIS MSDS REPRESENTS FINAL PRODUCT, APPARENTLY AN EXPELLING CHARGE FOR A HALON FIRE SUPPRESSION SYSTEM. FOR COMPONENTS SEE PNI B THIS NS N/CAGE AND PNI A/CAGE 80236 (OLIN), THIS NSN;
DRY ORGANIC FELT (ALL GRADES AND TYPES);CELLULOSE; ;;Respiratory Protection:USE ONLY NIOSH/MSHA APPROVED DEVICES. DUST MASK DURING FABRICATION IF NECESSARY. Ventilation:NOT NECESSARY. Protective Gloves:IMPERVIOUS GLOVES . Eye Protection:ANSI APPRVD CHEM WORKERS GOGGS . Other Protective Equipment:EMERGENCY EYEWASH & DELUGE SHOWER MEETING ANSI DESIGN CRITERIA . Work Hygienic Practices:NONE SPECIFIED BY MANUFACTURER. Supplemental Safety and Health NONE SPECIFIED BY MANUFACTURER;
WOC200456, WINTON OIL COLOURS PRUSSIAN BLUE;NON HAZARDOUS INGREDIENTS.; COMBUSTIBLE MATTER E.G., COTTON WASTE;;Respiratory Protection:NIOSH/MSHA APPROVED RESPIRATOR APPROPRIATE FOR EXPOSURE OF CONCERN . Protective Gloves:IMPERVIOUS GLOVES . Eye Protection:CHEMICAL WORKERS GOGGLES . Other Protective Equipment:USE BARRIER CREAMS. Work Hygienic Practices:NORMAL HYGIENE. Supplemental Safety and Health NONE SPECIFIED BY MANUFACTURER;
ISOTON II DILUENT, 8546720 (10L);ETHYLENE GLYCOL PHENYL ETHER, 2-PHENOXYETHANOL, SODIUM FLUORIDE, SODIUM CHLORIDE, DISODIUM EDETATE, ACETIC ACID, (ETHYLENEDINITRILO)TETRA-,, POTASSIUM CHLORIDE, SODIUM PHOSPHATE MONOBASIC, MONOSODIUM PHOSPHATE, SODIUM PHOSPHATE, DIBASIC, ANHYDROUS, DISODIUM PHOSPHATE; ;HEAT;Respiratory Protection:NONE REQUIRED Ventilation:NONE REQUIRED Protective Gloves:NONE REQUIRED Eye Protection:SAFETY GLASSES Other Protective Equipment:LAB COATS Supplemental Safety and Health;
ANTI-MOLD;ALKYL DIMETHYLBENZYLAMMONIUM CHLORIDES, ETHYL ALCOHOL (ETHANOL); ;;Ventilation:LOCAL EXHAUST IS SUFFICIENT Protective Gloves:YES Eye Protection:YES Other Protective Equipment:FACE SHIELD Supplemental Safety and Health 2500 SAN FERNANDO ROAD, LOS ANGELES, CALIF. 90065;
LECOSET 7007, LIQUID, 813-003;METHACRYLIC ACID, METHYL ESTER, (METHYL METHACRYLATE) (SARA, METHACRYLATE, (1,4-BUTANEDIOLDI-METHACRYLATE), PHOSPHOROUS ACID, TRIS(1-METHYLETHYL)ESTER), (PHOSPHOROUS, P-TOLUIDINE, N,N-DIMETHYL-, (N,N-DIMETHYL-P-TOLUIDINE); OXIDIZING AGENTS, PEROXIDES, BASES, ACIDS, REDUCING AGENTS, AMINES, HALOGENS, HEAT MAY POLYMERIZE ON EXPOS TO LIGHT;;Respiratory Protection:NIOSH/MSHA APPROVED RESPIRATOR. Ventilation:USE ONLY IN A CHEMICAL FUME HOOD. Protective Gloves:WEAR HEAVY RUBBER GLOVES. Eye Protection:ANSI APPROVED CHEM WORKERS GOGGS(SUPDAT) Other Protective Equipment:ANSI APPROVED EMERGENCY EYE WASH AND DELUGE SHOWER . Work Hygienic Practices:WASH THOROUGHLY AFTER HANDLING. Supplemental Safety and Health VP:40 MBAR @ 68F(20C), 64 MBAR @ 86F(30C), 0.5 MPAS @ 104F(40C). LEL:2.1% (% BY VOL IN AIR, 77F(25C),1011 MBAR) UEL:12.5% (% BY VOL IN AIR, 77F(25C), 1011 MBAR). FIRST AID PROC:IS CONSCIOUS. CALL MD. SPILL PROC:DO NOT EMPTY INTO WATERS ANDDRAINS. EYE PROT:AND FULL LENGTH FACE SHIELD ;
W, NEOPRENE SYNTHETIC RUBBER;POLYCHLOROPRENE/POLYCHLOROBUTADIENE, (POLYCHLOROPRENE,; ;HEATING TO 392F (200C) OR HIGHER, HYDROGEN CHLORIDE IS EVOLVED AT THESE TEMPERATURES;Respiratory Protection:NIOSH/MSHA APPROVED RESPIRATOR WITH ORGANIC VAPOR CARTRIDGE SHOULD BE USED WHEN VAPORS OR FUMES ARE GENERATED. Ventilation:VENT TO MAINTAIN FUME & VAP LEV W/IN EST SAFE STANDARD. IF LOC EXHAUST IS BEING USED, A CAPTURE VELOCITY OF (SUPDAT) Protective Gloves:RUBBER GLOVES. Eye Protection:CHEMICAL WORKERS GOGGLES . Other Protective Equipment:CHEMICAL RESISTANT CLOTHING. Work Hygienic Practices:NONE SPECIFIED BY MANUFACTURER. Supplemental Safety and Health VENT:150-200 FPM IS RECOMMENDED;
DPM 5948, 5083A-25109;ETHANOL, 2-BUTOXY-, (2-ETHOXYBUTANOL, BUTYL CELLOSOLVE)., PROPIONIC ACID, 2-METHYL-, MONOESTER WITH, ING 2:3-MONOISOBUTYRATE). VP:125.0 @ 336F, VOLATILE ORGANIC CONTENT (COATING):2.26 LB/GL (270 G/L)., SUPP DATA:ANIMAL STUDIES HAVE CLEARLY DEMONSTRATED, ING 5: TISSUE, THE BLOOD, THE KIDNEYS & THE LIVER, ING 6:ETHER (EGBE). (EXTRACTED FROM DHHS (NIOSH); ;;Respiratory Protection:USE NIOSH/MSHA APPROVED SPRAY MASK-CARTRIDGE TYPE PREFFERRED. UNDER EXTREMELY HIGH USAGE CONDITIONS IF TLV LIMITS ARE APPROACHED AN AIR SUPLIED RESPIRATOR IS ADVISED. Ventilation:PROVIDE SUFFICIENT MECHANICAL VENTILATION TO MAINTAIN EXPOSURE LIMITS. Protective Gloves:BUTYL RUBBER GLOVES. Eye Protection:ANSI APPRVD CHEM WORKERS GOGGS. Other Protective Equipment:EMERGENCY EYEWASH & DELUGE SHOWER MEETING ANSI DESIGN CRITERIA. WEAR IMPERVIOUS CLOTHING AND BOOTS. Work Hygienic Practices:WASH HANDS BEFORE EATING WITH SOAP & WATER. Supplemental Safety and Health EFTS OF OVEREXP:IN OFFSPRING OF FEMALE ANIMALS EXPOSED DURING PREGNANCY W/APPARENT THRESHOLD RESPONSE LEVEL APPROACHING 400 PPM CONC IN AIR. WARNING! DETECTABLE AMT OF CHEMICALS/SUBSTANCES KNOWN TO ST ATE OF CALIFORNIA TO CAUSE CANCER, BIRTH DEFECTS/OTHER-REPRODUCTIVE HARM MAY BE FOUND IN THIS PRODUCT. (ING 4);
PINK PANTHER;DYE, OPTIC BRIGHTNER, WATER, 2,6-OCTADIENAL, 3,7-DIMETHYL-, TRISODIUM NITRILOTRIACETATE, NITILOTRIACETIC ACID TRISODIUM, CITRIC ACID, BENZYLETHYLDIMETHYLAMMONIUM CHLORIDE, TERGITOL NP-14, NONYLPHENOXYPOLY-(ETHYLENEOXY) ETHANOL, NP-9, PINE OIL; ;;Ventilation:LOCAL EXHAUST TO KEEP BELOW TLV Protective Gloves:WATERPROOF Eye Protection:SAFETY GLASSES Supplemental Safety and Health;
AC108970250, 2-CHLOROCYCLOPENTANONE(SUBDAT);CYCLOPENTANONE, 2-CHLORO- (EINECS/ELINCS: 211-769-9); ;;Respiratory Protection:NIOSH APPROVED RESPIRATOR APPROPRIATE FOR EXPOSURE OF CONCERN . Protective Gloves:IMPERVIOUS GLOVES . Eye Protection:ANSI APPROVED CHEMICAL WORKERS GOGGLES . Other Protective Equipment:ANSI APPROVED EYE WASH & DELUGE SHOWER . Supplemental Safety and Health TRADE NAME/PART NO.: 97% (STABILIZED WITH 200 PPM H.Q.);
ENCO FPC FINISHER PRESERVER CLEANER;NAPHTHA (PETROLEUM SPIRITS OR BENZIN); ;;Respiratory Protection:CHEMICAL CARTRIDGE RESPIRATOR RECOMMENDED FOR EXPOSURES EXCEEDING TLV Ventilation:LOCAL EXHAUST RECOMMENDED Protective Gloves:RUBBER GLOVES Eye Protection:SAFETY GOGGLES Supplemental Safety and Health;
WK, NEOPRENE SYNTHETIC RUBBER;POLYCHLOROPRENE/POLYCHLOROBUTADIENE, (POLYCHLOROPRENE,; ;HEATING TO 392F (200C) OR HIGHER, HYDROGEN CHLORIDE IS EVOLVED AT THESE TEMPERATURES;Respiratory Protection:NIOSH/MSHA APPROVED RESPIRATOR WITH ORGANIC VAPOR CARTRIDGE SHOULD BE USED WHEN VAPORS OR FUMES ARE GENERATED. Ventilation:VENT TO MAINTAIN FUME & VAP LEV W/IN EST SAFE STANDARD. IF LOC EXHAUST IS BEING USED, A CAPTURE VELOCITY OF (SUPDAT) Protective Gloves:RUBBER GLOVES. Eye Protection:CHEMICAL WORKERS GOGGLES . Other Protective Equipment:CHEMICAL RESISTANT CLOTHING. Work Hygienic Practices:NONE SPECIFIED BY MANUFACTURER. Supplemental Safety and Health VENT:150-200 FPM IS RECOMMENDED;
OFF;D-LIMONENE, DIPROPYLENE GLYCOL METHYL ETHER, LPG (LIQUEFIED PETROLEUM GAS), PROPYLENE GLYCOL MONOMETHYL ETHER, TOLUENE (SARA III); PLASTICS, PRE-TEST TO BE SPRAYED BEFORE USING;TEMPERATURES ABOVE 120F, HOT SURFACES;Respiratory Protection:USE ONLY IN A WELL VENTILATED AREA. Supplemental Safety and Health NONE;
0194 STEEL INK REMOVER (AEROSOL);TOLUENE (IARC CARC- GROUP 3) *95-1*, ACETONE, DIMETHYL KETONE, 2-PROPANONE, 2-BUTOXYETHANOL (ETHYLENE GLYCOL MONOBUTYL ETHER), BUTYL, PROPANE, ISOBUTANE, 2-METHYLPROPANE; STRONG OXIDIZERS;HOT SURFACES, FLAMES, SPARKS;Respiratory Protection:WEAR SELF CONTAINED BREATHING APPARATUS. Ventilation:GENERAL MECHANICAL SHOULD BE ADEQUATE. PROVIDE LOCAL EXHAUST IF VAPOR BUILDUP BECOMES EXCESSIVE. Protective Gloves:IMPERMEABLE NEOPRENE Eye Protection:SAFETY GOGGLES/FACE SHIELD Other Protective Equipment:EMERGENCY SHOWER & EYEWASH Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. Supplemental Safety and Health;
SILICA GEL,6425 & 26;SILICA, AMORPHOUS, PRECIPITATED AND GEL, SILICA, CRYSTALLINE - QUARTZ; ;;Respiratory Protection:WHERE ENVIRONMENTAL CONTROLS ARE LACKING OR IN ENCLOSED SPACES USE A NIOSH/MSHA APPROVED RESPIRATOR FOR NUISSANCE DUST. Ventilation:USE GENERAL DILUTION VENTILATION. Protective Gloves:NOT NEEDED IN NORMAL SERVICE. Eye Protection:NOT NEEDED IN NORMAL SERVICE. Other Protective Equipment:PROVIDE A LOCAL EYE WASH STATION. Work Hygienic Practices:USE REASONABLE CARE IN HANDLING THIS PRODUCT.WASH HANDS AFTER USE AND BEFORE EATING. Supplemental Safety and Health NONE;
XO-1280 XO-RUST ENAMEL;HYDROCARBON PROPELLANT, PETROLEUM GASES LIQUIFIED, GROG, CALCIUM-BARIUM PHOSPHOSILICATE, ALUMINUM SILICATE, XYLENE, DIMETHYLBENZENE, XYLOL (IARC - GROUP 3) *97-1*, TOLUENE (IARC CARC- GROUP 3) *97-1*, ACETONE, DIMETHYL KETONE, 2-PROPANONE *97-1*; STRONG OXIDIZING AGENTS;HEAT, SPARKS, OPEN FLAME, TEMPS >120F & OTHER IGNITION SOURCES;Respiratory Protection:WEAR A NIOSH/MSHA APPROVED AIR SUPPLIED RESPIRATOR IF TLVS ARE EXCEEDED. WEAR AN APPROVED MECHANICAL FILTER TO REMOVE SOLID AIRBORNE PARTICLES OF OVERSPRAY DURING SPRAY APPLICATION. Ventilation:MECHANICAL (GENERAL)/LOCAL EXHAUST: SUFFICIENT TO MAINTAIN EXPOSURE <TLVS. Protective Gloves:REQUIRED Eye Protection:SAFETY GLASSES Other Protective Equipment:IMPERVIOUS CLOTHING & BOOTS Work Hygienic Practices:DON'T REUSE CONTAMINATED CLOTHING. WASH THOROUGHLY AFTER HANDLING. Supplemental Safety and Health;
714 APOC 103 ASPHALT PRIMER;ASPHALT, HYDROTREATED HEAVY NAPHTHA (PETROLEUM); STRONG OXIDIZING AGENTS, LIQUID CHLORINE, CONCENTRATED OXYGEN, SODIUM HYPOCHLORITE/CALCIUM HYPOCHLORITE;HEAT, SPARKS, OPEN FLAMES & OTHER IGNITION SOURCES, STATIC ACCUMULATION/DISCHARGE;Respiratory Protection:USE SUPPLIED AIR RESPIRATORY PROTECTION IN CONFINED/ENCLOSED SPACES, IF NEEDED. Ventilation:SUFFICIENT TO PREVENT EXCEEDING RECOMMENDED EXPOSURE LIMIT/BUILDUP OF EXPLOSIVE CONCENTRATIONS OF VAPOR IN AIR. USE EXPLOSION PROOF EQUIPMENT. Protective Gloves:CHEMICAL RESISTANT IF NEEDED, TO AVOID PROLONGED/REPEATED SKIN CONTACT. Eye Protection:SPLASH GOGGLES/FACE SHIELD Other Protective Equipment:CHEMICAL RESISTANT APRON/OTHER IMPERVIOUS CLOTHING. Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING & SHOES BEFORE REUSE. CLEANSE SKIN THOROUGHLY AFTER CONTACT BEFORE BREAKS & MEALS & AT END OF WORK PERIOD. USE WATERLESS HAND CLEANERS, THEN WASH W/SOAP & WATER. Supplemental Safety and Health NO SMOKING/OPEN LIGHTS. MINIMIZE BREATHING VAPORS/MIST. AVOID PROLONGED/REPEATED CONTACT W/SKIN;
NITRIC ACID ACS GRADE;WATER, NITRIC ACID (SARA III); STRONG ALKALIS, METALLIC POWDERS, CARBIDES, HYDROGEN SULFIDE, TURPENTINE, ORGANIC ACIDS, COMBUSTIBLE/OXIDIZABLE MATERIAL;CONTACT WITH WATER OR MOISTURE, CONTACT WITH OTHER INCOMPATIBLES;Respiratory Protection:IF ENGINEERING CONTRAOL FAIL OR NON-ROUTINE USE OR EMERGENCY OCCURS, USE NIOSH/MSHA APPROVED RESPIRATOR OR SUPPLIED AIR RESPIRATOR OR SCBA, AS REQUIRED. USE IAW 29 CFR 1910.134. Ventilation:USE LOCAL EXHAUST OR FUME HOOD TO MAINTAIN EXPOSURE BELOW REGULATORY LIMITS. Protective Gloves:NEOPRENE ELBOW LENGTH GLOVES Eye Protection:SAFETY GLASSES/CHEMICAL SPLASH GOGGLES Other Protective Equipment:NEOPRENE BOOTS, APRON, EYE WASH STATION & SAFETY SHOWER. Work Hygienic Practices:WASH HANDS AFTER USE AND BEFORE EATING, DRINKING, OR SMOKING. LAUNDER CONTAMINATED CLOTHES BEFORE REUSE. Supplemental Safety and Health;
FORMALDEHYDE, 37% SOLUTION, 4003;FORMALDEHYDE (SARA 302/313) (CERCLA), METHANOL (SARA 313) (CERCLA), WATER, OTHER PRECS:HEATERS/ELEC MOTORS AT LOCATIONS DIST FROM MATL, ING 4:DRUM, EVEN EMPTY, BECAUSE PROD/RESIDUE, CAN IGNITE, RESP PROT:SPECIFIED CNDTNS (SEE SFTY EQUIP SUPP)., EYE PROT:AND FULL LENGTH FACESHIELD .; ACIDS, OXIDIZERS, ISOCYANATES, STRONG ALKALIES, PHEL, ANHYDRIDES, OXIDES AND IRGANIC ACIDS;HEAT, SPARK, OPEN FLAME CONTACT WITH HCL MAY CAUSE FORMATION OF THE POTENT CARCIGEN, BISCHLOROMETHYL ETHER;Respiratory Protection:IF WORKPLACE EXPOSURE LIMIT(S) OF PROD/ANY COMPONENT IS EXCEEDED (SEE TLV/PEL), NIOSH/MSHA APPRVD AIR SUPP RESP IS ADVISED IN ABSENCE OF PROPER ENVIRON CTL. OSHA REGS ALSO PERMIT OTHER NIOSH/MSHA APPR VD RESPS (NEG PRESS TYPE) UNDER (ING 6) Ventilation:MATERIAL MUST BE HANDLED OR TRANSFERRED IN AN APPROVED FUME HOOD OR WITH ADEQUATE VENTILATION. Protective Gloves:PROT GLOVES (NEOPRENE, NITRILE/EQUIV). Eye Protection:ANSI APPROVED CHEM WORKERS GOGGS (ING 7) Other Protective Equipment:ANSI APPROVED EMERGENCY EYE WASH AND DELUGE SHOWER . IMPERVIOUS PROTECTIVE CLTHG MUST BE WORN TO PVNT SKIN CONT. Work Hygienic Practices:WASH THROUGHLY AFTER HANDLING. DO NOT TAKE INTERNALLY. Supplemental Safety and Health EXPLAN OF CARCIN:BE CARCIN. ANIMAL:NASAL TUMORS. SPILL PROC:W/FED, STATE & LOC REGS ON REPORTING RELS. NEUT AGENT:ADDNL INFO ON SPILL-X PRODS CAN BE PROVIDED THROUGH MFR TECHNICAL SERVICE DEPT 609-354 -9200. FOLLOWING MFR NEUT & ABSORB IS REC FOR PROD:SX0865 FORMALDEHYDE SOLV SPILL TREATMENT KIT;
DAP BUTYL-FLEX CANADIAN CAULK;STODDARD SOLVENT (PETROLEUM DISTILLATE), MINERAL SPIRITS, LIGHT ALIPHATIC NAPHTHA, VM & P NAPHTHA, LACOLENE *93/1*, VOL ORGANIC CMPD LESS WATER LESS EXEMPT SOLVENT: 211 G/L,, TRADE SECRET COMPONENT; STRONG OXIDIZERS & CAUSTICS;EXCESSIVE HEAT & FREEZING;Respiratory Protection:IF 8-HR EXPOSURE LIMIT OR VALUE IS EXCEEDED FOR ANY COMPONENT, USE AN APPROVED NIOSH/OSHA RESPIRATOR. Ventilation:PROVIDE SUFFICIENT MECHANICAL VENTILATION (LOCAL OR GENERAL EXHAUST) TO KEEP BELOW PEL & TLV. Protective Gloves:SOLVENT IMPERVIOUS Eye Protection:GOGGLES OR SAFETY GLASSES W/SIDE SHIELDS Other Protective Equipment:EYEWASH & SOLVENT IMPERVIOUS APRON IF BODY CONTACT W/PRODUCT OCCURS. BARRIER CREAMS MAY BE USED. Work Hygienic Practices:REMOVE/LAUNDER CONTAMINATED CLOTHING BEFORE REUSE. Supplemental Safety and Health;
CR14495, FICAM D;BENDIOCARB, INERT CARRIER; MATERIALS W/STRONG ODORS;HEAT;Respiratory Protection:IF GOOD VENTILATION NOT AVAILABLE, USE SUITABLE DUST RESPIRATOR. Ventilation:GOOD GENERAL REQUIRED Protective Gloves:PVC, RUBBER Eye Protection:CHEMICAL GOGGLES, FACE SHIELD Work Hygienic Practices:WASH HANDS, EXPOSED SKIN, BEFORE EATING, DRINKING, SMOKING & AFTER HANDLING. Supplemental Safety and Health FIRST AID CONT'D: UNTIL FULLY ATROPINIZED. MORPHINE CONTRAINDICATED. CONTROL CONVULSIONS W/10-20 MG OF DIAZEPAM INTRAVENOUSLY. DENSITY: 0.65 G/ML. DON'T APPLY DIRECTLY TO WATER;
LECOSET 7007, LIQUID, 813-054-300;METHACRYLIC ACID, METHYL ESTER, (METHYL METHACRYLATE) (SARA, METHACRYLATE, (1,4-BUTANEDIOLDI-METHACRYLATE), PHOSPHOROUS ACID, TRIS(1-METHYLETHYL)ESTER), (PHOSPHOROUS, P-TOLUIDINE, N,N-DIMETHYL-, (N,N-DIMETHYL-P-TOLUIDINE); OXIDIZING AGENTS, PEROXIDES, BASES, ACIDS, REDUCING AGENTS, AMINES, HALOGENS, HEAT MAY POLYMERIZE ON EXPOS TO LIGHT;;Respiratory Protection:NIOSH/MSHA APPROVED RESPIRATOR. Ventilation:USE ONLY IN A CHEMICAL FUME HOOD. Protective Gloves:WEAR HEAVY RUBBER GLOVES. Eye Protection:ANSI APPROVED CHEM WORKERS GOGGS(SUPDAT) Other Protective Equipment:ANSI APPROVED EMERGENCY EYE WASH AND DELUGE SHOWER . Work Hygienic Practices:WASH THOROUGHLY AFTER HANDLING. Supplemental Safety and Health VP:40 MBAR @ 68F(20C), 64 MBAR @ 86F(30C), 0.5 MPAS @ 104F(40C). LEL:2.1% (% BY VOL IN AIR, 77F(25C),1011 MBAR) UEL:12.5% (% BY VOL IN AIR, 77F(25C), 1011 MBAR). FIRST AID PROC:IS CONSCIOUS. CALL MD. SPILL PROC:DO NOT EMPTY INTO WATERS ANDDRAINS. EYE PROT:AND FULL LENGTH FACE SHIELD ;
HECTO CLEANER;BENTONITE (AS NUISANCE DUST OR PARTICULATES NOT OTHERWISE, CARBITOL (DIETHYLENE GLYCOL MONOETHYL ETHER)., GLYCERIN, SODIUM DIOCTYL SULFOSUCCINATE(AEROSOL OT), SOAP; ;;Respiratory Protection:MFR STATES NONE NEEDED Other Protective Equipment:NONE Supplemental Safety and Health INGRED: WATER 44%;
